symbol,0,2,4,6,8,10,12,14,16,18,20,22
ST7,0.37922383,0.188325821,0.380342563,0.354658985,-0.121293764,2.666463282,0.691884337,2.625329195,0.326594567,-0.369607352,-0.496464754,-0.038995668
CDC27,-0.272279023,0.018614456,0.327482202,0.451103986,0.017149465,1.328017776,0.820475762,0.970638608,0.648256807,0.180402299,0.340240609,0.526748422
SLC4A1,0.351802971,-0.292596108,1.783922022,0.047560993,0.34200516,-0.389391465,-1.107749742,-0.421707726,0.277235391,0.507236219,-0.947166377,2.668983413
HCCS,0.063723799,-0.53774717,0.38955572,-0.775392031,0.486681184,2.633634061,-0.585221199,1.597823788,1.616744588,-0.98327429,-0.47743207,-0.355105507
DVL2,0.848618333,0.231096848,0.683552532,0.116872182,0.633112897,1.275664664,-1.182865991,0.807711365,-2.318796972,-0.396598751,0.091238195,-1.690946877
PRSS22,1.326223953,-0.013294381,-0.960100099,-0.441955341,0.068535741,-2.87337769,-1.54462786,-1.725665158,-0.291541457,0.000180436,0.24023457,0.304748138
UPF1,-0.256169425,0.396886298,1.053320484,-0.1717819,-1.142884539,0.081687749,-0.035258818,-0.508370796,-0.513372867,-1.77737074,-1.306484331,0.356977112
SKAP2,0.959263525,1.682321427,-0.152508359,1.963091005,0.363773679,-1.534966101,0.466432902,-1.006399162,-1.296262741,-1.68858089,-0.621525877,0.712946204
SLC25A5,-1.459864162,-0.639246413,-1.020887294,-0.318697985,-0.333638643,1.000858989,1.631674321,0.021186617,2.228929013,0.512859244,0.598469499,0.64222974
CCDC109B,1.182443967,0.549704142,-0.407322749,0.336390051,-1.11854907,-1.368625757,1.553418276,-0.326110515,2.031830804,-0.965964579,-0.237721097,0.235836607
POLR2J,0.016221274,-0.811502552,-1.017686497,-1.201295777,-0.450432643,2.656150622,-1.198383795,2.419809046,0.031967109,0.378170992,-0.303931353,-0.757758267
DHX33,-0.659103195,-0.045825661,0.999537517,0.388827608,-0.030502039,3.443259302,0.45259087,1.359085032,0.621245515,-0.359405786,-0.482224922,0.386665713
THSD7A,0.18554944,4.172582498,-0.668787184,-0.256709396,0.085030276,-0.482835904,-0.57851167,-0.030399285,-0.840742465,0.274593547,0.627542181,0.243468542
LIG3,-0.674034631,0.322647089,0.509606669,-0.347945265,-0.960256011,3.34849187,0.956397407,1.693933342,0.615818927,0.155376987,-0.251758002,-0.785620622
RPAP3,0.188756107,0.225530291,0.185885101,0.568245362,0.28505277,1.462148324,0.546955648,0.905659096,0.514253795,0.155806752,0.379146709,0.570424122
ACSM3,-0.167693126,-0.279274971,-0.053648228,-0.29340857,-0.698492345,-2.124800005,-0.700187111,-0.065039643,-0.341399323,-0.496918107,0.234662833,-0.489261052
AC004381.6,-2.276773811,0.125408323,0.916383187,0.47035331,0.160216004,0.151002287,1.169209656,1.809413593,0.983496186,-2.276773866,-0.612739591,0.639376964
CIAPIN1,-2.277786154,0.677426091,0.378470202,-0.427452988,0.293028469,1.503706714,0.891096335,1.053316213,1.294244122,0.535038072,0.519279095,0.542641984
SPPL2B,0.738991048,0.659063639,0.091807847,-0.848320812,-0.484249838,-1.045811578,-0.842936227,-0.549209843,-1.098096918,0.691046752,-1.026790428,-1.086420222
FAM214B,1.203747683,1.146637186,0.791075413,0.910483936,1.08025798,-2.201463383,-0.087472706,-1.800450351,-1.240223516,0.297410168,0.00597475,-0.911832325
COPZ2,-0.402278375,-0.402278375,1.382707555,-0.402278375,2.170673861,-0.402278375,-0.402278375,-0.402278375,1.011210637,-0.402278375,-0.402278375,-0.402278375
PRKAR2B,-0.334224627,-0.334224627,-0.334224627,-0.148357675,-0.275897045,2.562483565,-0.334224627,3.805659779,-0.334224627,-0.22618024,-0.162126572,-0.334224627
MSL3,-0.677920604,0.482033053,1.152156753,0.504760785,-0.115491094,-0.27322621,0.323724613,0.57192961,1.146670871,0.115743788,-0.281584074,1.561737547
CREBBP,-1.007767631,0.415331983,0.319149392,0.077076168,-1.04013995,0.756525302,0.13526644,1.895156755,-1.977449361,-0.982061477,-2.132904919,0.188728628
BZRAP1,0.011318832,0.857978664,0.935107162,-0.623998276,1.251835416,0.362930778,-0.44540792,-1.39935941,0.278236115,0.650429367,0.095460476,1.651093742
MPO,-0.523439035,-0.523439035,0.516144059,-0.523439035,-0.523439035,-0.523439035,1.371765605,0.200677276,-0.523439035,-0.523439035,0.463793362,-0.523439035
PON1,-0.51184084,-0.69945078,0.428496553,-0.218546714,-0.530018513,-0.69945078,1.999532392,0.106598673,-0.222470514,2.367525478,-0.69945078,-0.51468483
GCFC2,-0.118268597,0.398176666,1.030318506,0.357516619,-0.276233761,2.765210626,0.920781458,1.742125181,0.902503143,0.21151323,-0.434121906,-0.087527507
