symbol,ZT24,ZT26,ZT28,ZT30,ZT32,ZT34,ZT36,ZT38,ZT40,ZT42,ZT44,ZT46
TMEM72,0,0,0,0.0362219,0.103093,0,0,0,0.1074945,0,0,0
SCXB,0,0,0,0,0,0.343754,0,0,0,0,0.345199,0
FANCM,1.039132251,1.6232946,1.221677401,1.718738,2.452431,3.756761,2.8378828,2.205619,3.0151241,1.5442045,2.12883403,1.546676
ZNF70,0.9646,1.33443,1.30011,1.66565,1.15202,1.65932,1.51102,1.55308,0.947984,1.05403,1.14444,1.20168
CARD9,0.0871651,0.1485041,0.21497042,0.0737972,0.05617901,0.4146877,0.4744973,0.6288082,0.14244488,0.1541781,0.230325,0.0549161
PEAR1,3.3002853,2.007491,2.563163,3.717157,3.3227778,2.100574,2.366437,1.2494535,2.417486,3.4329212,2.77042,1.992434
ZFP69B,0.577658,1.1501474,0.8167248,0.964365,0.982773,2.720448,1.1506203,1.8770083,0.935171,0.6771847,0.94001,0.292223
SOWAHD,3.32211,3.42313,3.64031,2.93404,3.50854,1.69444,3.00943,1.4538,2.95958,3.52982,4.00655,4.0041
AP000867.1,0.641168,0.569013,0.596843,0.724406,0.377117,0.290166,0.201775,0.459498,0.396103,0.687341,0.345595,0.361866
ZFP69,1.11488,1.036658,0.903709,0.852084,0.89794,2.37905,1.3981384,1.428291,1.475476,0.834786,0.592441,0.587851
TMEM220,1.386842,1.220565,0.766126,1.315623,1.5763,1.68607,0.871587,1.391465,1.542605,1.1662,2.013759,1.825299
HIST1H1C,51.7828,37.2976,38.5327,43.676,52.3033,51.238,46.4077,109.65,47.0515,35.8513,51.6946,38.3901
PLSCR3,5.140937,9.02705,6.439187,5.73331,7.58012,8.22236,8.27988,9.166046,4.7802967,8.93347,8.078,5.695103
EIF4EBP1,48.6292,46.9631,52.44585,49.6955,53.7417,97.9528,53.7283,72.8951,59.9842,60.25918,59.1123,59.9414
P2RX2,0,0,0.108934,0,0.0648407,0.1338437,0,0,0.0308759,0.0546876,0,0
CCDC157,0.9479187,1.2206608,1.1736655,1.776467,1.39432,1.9260473,1.649742569,1.7611444,1.694448,2.056727,1.3449609,1.609352
FAM122A,6.93417,7.67501,7.91517,7.16293,7.07039,6.27524,7.09022,5.43396,7.36601,5.95673,6.79529,5.81576
PALM3,5.25254,4.95163,5.22073,3.6777,3.9561,2.81344,4.62066,4.70973,4.39486,7.47365,4.98853,6.89231
GFRAL,0.0175328,0.0569604,0.0189717,0,0,0,0,0,0,0,0,0
C1orf168,1.2304021,2.4186599,1.5121705,3.0347192,2.0898899,1.4870542,1.851547549,1.6659952,1.55297389,2.0531385,1.83376,2.704516
CXXC1P1,0.0176321,0.0569985,0.0379058,0,0,0.0555096,0.0174474,0.0793815,0.0757524,0.089469,0.0360955,0.0521274
SHISA7,0.0100072,0,0,0,0,0,0,0.014898,0,0,0.00509763,0
AC097382.5,0.601172,0.10299,0.505368,1.56166,0.498753,0.230611,0.102222,0.536282,0.722885,1.29255,0.558225,0.578885
AC002472.13,0.4386048,0.45122193,0.43675,0.400826,0.380248,0.13672624,0.31201634,0.3177828,0.2457978,0.448647,0.305211,0.3740619
DMBT1,23.09994,18.142894,16.026346,17.0106485,14.3133,7.247616,10.262339,7.51984,6.310038,11.56342,9.680938,11.2351
CLEC17A,0.0192584,0,0,0.0574931,0.0156281,0.0916109,0.0333876,0.0258171,0.0151043,0,0,0.0655497
LCN10,0,0,0,0,0.0171379,1.5618229,0,0.70614573,0,0,0.0388903,0
DOC2B,0,0.0764672,0,0,0,0,0.0697325,0.186774,0.0614765,0,0.0362273,0.13902
LDLRAD2,0.854369,1.687023,1.884284,1.913005,1.410411,0.718943,1.046386,1.078978,0.887315,1.638482,0.59503,0.932394
C2orf66,0.593972,0.08841,0.110066,0.0886604,0.147904,0.096825,0.0810959,0.246343,0.194128,0.249635,0.314802,0.383683
ARHGAP11B,0,0,0.507448,0,0,0,0,0.228855,0,0,0,0
PMS2CL,8.59454,5.524569,7.7954904,5.924752,7.0021966,8.610726,8.329476,10.442381,6.52107,7.88992101,7.5101236,7.1291032
