"symbol","FKPM_CTL_ZT10","FKPM_CTL_ZT14","FKPM_CTL_ZT18","FKPM_CTL_ZT2","FKPM_CTL_ZT22","FKPM_CTL_ZT6"
"Vma21",597.727,750.274,1038.71,773.479,923.169,899.568
"Vmo1",153.419,318.727,235.792,248.28,301.949,328.785
"Vmp1",64606.2,72454.9,58481.3,63450.4,66024.1,59032.1
"Vnn1",143.521,169.366,154.885,248.424,148.36,71.5071
"Vnn3",27.6197,0,27.2803,18.667,0,23.5794
"Vom1r15",0,21.025,29.5073,0,0,0
"Vom1r17",48.2712,43.924,192.093,94.859,80.6964,145.912
"Vom1r45",24.873,21.025,41.3102,36.9531,0,44.417
"Vom1r90",129.858,141.242,208.512,212.431,44.42,163.328
"Vom2r13",165.648,338.311,330.644,189.284,196.035,230.032
"Vom2r16",20.6514,74.4194,34.9804,82.2873,36.2763,72.9561
"Vom2r31",71.8472,53.3913,27.2787,36.9502,0,49.3739
"Vom2r32",0.0048522,0.00308447,0.0016197,0.002882,0,0.00285057
"Vom2r35",0,21.962,0,18.47655,0,0
"Vom2r37",140.713,145.176,244.426,139.217,175.278,71.5071
"Vom2r38",27.6817,88.9288,156.256,90.9745,101.453,162.47
"Vom2r52",0,19.734,0,40.0008,0,23.5794
"Vom2r53",76.0736,208.563,194.748,316.197,198.95,170.261
"Vom2r75",26.3276,0,64.4876,94.478,88.2398,89.6029
"Vom2r76",229.33,215.872,361.247,111.713,284.288,166.07
"Vom2r77",0,19.734,0,18.2861,72.5527,0
"Vom2r80",26.3276,0,0,0,0,0
"Vopp1",85157.9,90958.6,88450.4,89203.6,96232.5,90271
"Vpreb2",0,0,0,18.2861,0,0
"Vps11",71749.9,74770.3,63736,70229.3,72302.4,67369.4
"Vps13a",171717,193342,175287,178628,193741,177028
"Vps13c",285316,318801,321669,320919,351582,299209
"Vps13d",136637.5,151341.5,143664.5,148998.5,148205.5,136625.5
"Vps16",41951.1,44907.4,38097.6,41191.4,43569.2,43343.5
"Vps18",35611.8,32840.2,30821.8,32473.8,32372.5,32241.4
"Vps25",5054.732,5179.486,4930.41222222222,5135.26605555556,5000.24866666667,4981.45911111111
"Vps26a",12196.345,13558.2365,12003.0615,13148.49,12550.928,12508.895
"Vps26b",115542,112915,106159,110601,111221,109591
"Vps26c",18739.6,20397.8,17622.6,18886.1,19674.2,18917.4
"Vps28",52170.9,52783.3,44043.5,50147.9,51145.5,48824.6
"Vps29",21320.76,25843.66,21399.5386666667,24456.7816666667,24754.97,20901.7833333333
"Vps33a",14695.88,15792.895,14785.93,15197.375,15674.15,13662.69
"Vps33b",17759.6,18655.6,15668.1,16438.4,15784.8,17818.3
"Vps35",209571,232397,200007,213314,216721,213109
"Vps35l",20955.725,22725.795,20104.26,25632.525,21551.45,21139.65
"Vps36",11020.4,12059.5,10799.9,10926.8,11708.9,11221.1
"Vps37a",13713.9,13571.3,15417.5,14558.4,15259.2,14615.4
"Vps37b",17313.8,13458.1,16474.6,16648.1,12126.9,18042.8
"Vps37d",5770.7,3742.47,4902.3,4857.62,4714.13,6544
"Vps39",41805.01,42666.84,42781.26,45296.67,45069.115,42164.85
"Vps41",243025,257745,224579,241351,252440,239123
"Vps45",31677.7,34639.3,32085.4,35512.9,33768.3,29631
"Vps4a",65841.3,70496.8,64855.1,69231.2,65437.4,68646.4
"Vps4b",42793.5,43251.5,36771.4,40372.9,41416.3,40278.5
"Vps50",58505.3,64826.6,58246.7,61194.8,61716.5,59387.4
"Vps51",27605.1,23583.2,25742.6,25467.7,22062,28803.4
"Vps52",65207.3,57496.9,65394.3,64293.1,59789,69230.3
"Vps53",18049.425,18991.165205,16956.284771,18838.25,16544.3,16244.635
"Vps54",32714.4,38452.7,32733.3,32157.7,33214.1,33786.1
"Vps72",25922.4,24943.4,25425.4,26130.7,25666.4,26083.7
"Vps8",66658.4,70097.6,61648.6,64809.9,65941.3,64711.9
"Vps9d1",18394,16770.4,17484.5,17098.5,16630.6,16864.8
"Vrk1",10610,11118.3,9040.43,9160.4,9706.13,10988
"Vrk2",961.331,980.2175,623.7675,809.211,790.125,811.3715
"Vrk3",19600.5,20055.2,17233.8,19792.6,20141.6,19623.1
"Vrtn",27.6197,21.025,0,18.667,0,24.3483
"Vsig1",0,0,17.4901916,18.7851875,18.13816085,20.837617993
"Vsig10",1467.7107,1543.7495,1510.0375,1722.9145,1406.4005,1352.429
"Vsig10l",2686.74,1900.84,2365.36,2423.84,2254.03,2567
"Vsig10l2",27.6197,0,0,37.3341,22.21,0
"Vsig2",0,0,59.0145,0,95.1029,72.9561
"Vsig8",74.619,63.658,0,76.9539,0,20.8376
"Vsir",21678.3,18661.3,15936.5,19654.3,17709.5,19695.6
"Vsnl1",333454,359893,311643,315398,342223,309507
"Vstm2a",4196.74,4665.33,3162.05,4728.19,3373.7,4671.11
"Vstm2b",9759.38,7141.8,9142.97,7994.38,7303.09,10290.1
"Vstm2l",6385.89,5109.97,5777.39,5751.22,4630.68,6387.65
"Vstm4",2623.83,2445.65,2231.87,3121.66,2322.37,2968.74
"Vstm5",6216.77,6035.49,4675.76,5642.49,5234.12,5950.61
"Vsx1",27.6197,152.004,91.7679,36.5721,51.6233,93.7937
"Vsx2",528.947,708.001,448.673,633.141,455.198,626.161
"Vta1",19555.965,19238.565,16983.665,19239.51,19402.29,18489.07
"Vtcn1",49.746,21.025,0,21.3337,0,0
"Vti1a",8488.93,8340.18,8288.96,8927.99,8858.255,8394.015
"Vti1b",31115.2,29311,28578.7,29555.3,29443.5,30609.7
"Vtn",19058.8,21141.2,18011.6,20113,14218.2,14590.3
"Vwa1",15816.8,13611.2,15567.9,17207.5,14416.2,16766.5
"Vwa2",242.993,275.572,165.831,185.947,143.131,173.722
"Vwa3a",26301.4,22899.8,21372.1,23239,23899.2,25717.2
"Vwa3b",508.190171402,466.88851,425.08551,463.59372,328.941904,424.28908
"Vwa5b1",2935.88,2487.7,1722.23,2144.51,1941.02,3013.29
"Vwa5b2",26233,23372.5,28213.7,24872.9,22054.2,27240.7
"Vwa7",124.345,101.774,27.2803,121.907,58.8265,70.8945
"Vwa8",115.902,63.658,116.821,98.9049,175.799,143.17
"Vwc2",5199.48,5917.75,5333.31,5003.46,5299.57,5418.17
"Vwc2l",3129.47,3688.54,3492.55,2993.8,3342.46,2851.24
"Vwde",0,0,0,0,22.21,24.3483
"Vwf",39657.1,44121.8,44319.2,49397.7,34150.1,36296.1
"Vxn",280624,289508,285345,276235,283555,269578
"Wac",45020.2,44872.4,45245,45258,46706.8,43660
"Wapl",83291.4,91654.6,77010.9,83290.4,86197.7,79963.9
"Wars1",21378.6493333333,22187.910092,20454.5903333333,20001.7716666667,20574.9213333333,20054.9776666667
"Wars2",4896.8,4843.39,5077.4,5666.94,4605.8,4997.12
"Was",404.602,385.289,327.008,391.284,446.6615,462.8185
"Wasf1",130260,120300,145197,132307,133768,136101
"Wasf2",2179.006,2113.335,2290.139,2406.542,2150.643207,2487.5917
"Wasf3",28877.5,26819.3,31521.6,26426.6,27962.9,29511.6
"Washc1",9718.08,10119.7,9585.11,10042.8,9023.45,11091.5
"Washc2c",177457,196589,177119,181385,192724,178302
"Washc3",12915.2,12791.2,11629.4,11648.2,13249,12351.5
"Washc4",57151.2,61816.3,57596.6,61198,62775.4,55474.1
"Washc5",70972.4,75237.3,65061.3,71293.6,74018,70544.8
"Wasl",128052,136564,127691,128782,130839,124016
"Wbp1l",54974.5,52160,51693.4,54887.6,48999.3,51442.8
"Wbp2",38803,36047.4,40848.9,40153.4,38722.3,39665.3
"Wbp2nl",26.3276,118.133,95.8707,58.2868,103.247,111.89
"Wbp4",1063.91,1641.12,1468.79,1640.13,1566.6,1646
"Wbp4-ps1",13492.1,15566.3,16146.4,15695.3,16919.4,14150.7
"Wdcp",2988.77,3351.37,3346.69,3359.56,4537.55,2697.05
"Wdfy1",7478.25,6991.75,7837.11,7093.805,6821.93,7729.365
"Wdfy2",22047.005,22960.8,21696.625,22389.845,23062.755,19258.975
"Wdfy3",285627,293898,314864,325795,305972,300918
"Wdfy4",1516.37,1425.59,1786.37,2107.32,1648.16,1940.38
"Wdhd1",3916.49,4482,3849.1,3144.75,4626.85,3644.47
"Wdpcp",10076.5,9613.43,8909.74,10186.6,10574.7,10621
"Wdr1",247473,248930,229434,243971,247019,240518
"Wdr11",59512.4,60324.7,59401.3,58298.7,59980.3,59284.5
"Wdr12",17142.3,18182.7,14659.8,16027.3,15625.8,16587.6
"Wdr13",21058.2,15258.6,21170.5,19050.7,17248.2,24247.2
"Wdr17",14477.37355,13585.4905,13753.9085,14632.5835,14031.5795,14403.0485
"Wdr18",20474.9,15453.7,18840.9,16576,14194.7,19384.4
"Wdr19",35259.7,38333.7,36834.4,35530.2,38268.8,35422.9
"Wdr20",10853.71,10924.89,10835.73,10833.5,11552.615,11222.795
"Wdr24",25063.4,23511.7,23005.2,23764,22681.1,21705.6
"Wdr25",2643.86,2893.05,2751.21,2802.18,2762.82,3235.5
"Wdr26",192239,209311,183179,194203,195988,187186
"Wdr27",10734.57,9765.74,10179.46,10752.535,11067.67,10452.675
"Wdr3",25345.4,27910.7,22560.6,24918.7,24140,24092.9
"Wdr31",2546.4845,2599.542,2381.37641065,2659.035,2078.3485,2628.3385
"Wdr33",49546.5,47430.8,46515.7,50036.9,46979.7,45747.9
"Wdr35",44356.6,46953.6,43575.8,45778.5,45264.1,45734.5
"Wdr36",10159.855,11519.43,9448.455,10345.825,10824.48,10296.79
"Wdr37",82620,88187.8,83072,84157.5,84306.3,84934.9
"Wdr38",1134.02,815.408,588.046,972.05,595.322,976.895
"Wdr4",5243.35,4192.25,4310.82,4097.56,4144.08,4744.72
"Wdr41",12024.645,12924.38,11371.5,12153.965,12476.03,12519.475
"Wdr43",31043.8,32224,27010,27768.3,26507.5,29285.1
"Wdr44",11218.092594,11652.977,10930.811,11739.1903606667,12765.3333333333,10988.9593333333
"Wdr45",17265.7,17763.3,18103,17516.4,16820.9,17878.6
"Wdr45b",5787.34,10788.8,7036.74,9504.05,11054.1,8128.78
"Wdr46",18833.4,18085,19148.7,18154.1,17284,18760.7
"Wdr47",183016,198911,181351,193404,192380,184721
"Wdr48",33395.3775,36273.076,32956.681,35731.023,35384.05,34665.3145
"Wdr49",464.126,243.967,539.917,376.399,359.316,462.234
"Wdr5",20289.1,22507.5,18753.9,20312.3,18359.7,19034.5
"Wdr53",4646.24,5322.68,4543.53,4789.2,4781.17,5173.51
"Wdr55",29718.58,34062.81,27539.12,28921.47,30017.145,28559.22
"Wdr59",24705,26611.6,25901,26063,27757.4,26190.3
"Wdr5b",3923.02,3902.18,3069.67,3765.56,3818.46,3805.84
"Wdr6",124524,107834,96920.4,110246,88604,117449
"Wdr62",0,13.5863333333333,37.0903333333333,6.22233333333333,22.21001999,16.2322
"Wdr64",0,24.19,0,0,0,23.5794
"Wdr7",370566,390156,356887,372080,376488,366605
"Wdr70",19986.2,21031.7,19951.1,19845.8,19841.4,19666
"Wdr72",696.444,699.21,743.206,866.708,411.379,803.489
"Wdr73",14892.5,14449.6,13058.2,14383.5,14311.8,15102.6
"Wdr74",6378.91,6854.421,5381.315,5829.6395,6485.575,5908.9405
"Wdr75",15472.787,17950.45,14516.8065,16003.65,16196.15,15140.277
"Wdr76",932.905,1205.55,1156.32,1060.76,1102.84,1070.14
"Wdr77",52.6551,0,0.245482,0,0,48.6079
"Wdr81",29400.7,28880.3,31555.5,29967.6,26433,30881.3
"Wdr82",15138.2025,16482.5235,15038.75,14845.075,16431.4395,14251.186
"Wdr82-ps3",5799.4,6027.18,5655.13,5638.46,6249.4,5666.88
"Wdr83",9397.09,9508.34,9653.23,10013.6,10602,9987.93
"Wdr83os",31374.3,29254.6,26261.1,28473.8,28371.4,28314.2
"Wdr86",343.502,290.352,261.013,578.282,44.42,480.699
"Wdr89",4570.33,4532.5,3945.1,3536.98,4080.03,4411.65
"Wdr90",12319.1,11323,12266.8,11159.5,9852.79,12082
"Wdr91",21925.4,22074.8,19339.2,21536.1,21303.6,21889.4
"Wdr93",1266.69,1094.25,652.294,1310.18,1394.33,1330.98
"Wdr95",120.286,45.215,164.812,93.0458,209.161,0
"Wdr97",349.433,265.333,529.494,398.995,329.742,257.122
"Wdsub1",7059.68,7552.71,6584.58,7417.98,6835.65,7300.65
"Wdtc1",60829.6,53665.4,60432.6,56230.6,54057.6,58301.1
"Wee1",30537.1,32406.8,28364.6,27840.5,28231.8,26188.1
"Wee2",73.1442,43.924,59.0145,76.8092,0,0
"Wfdc1",7821.29,7080.78,9063.22,6456.76,5449.83,6807.43
"Wfdc10a",26.3276,19.734,0,18.667,36.2763,24.3483
